ImageId,EncodedPixels
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,6908 1 7161 8 7417 8 7672 9 7928 9 8184 9 8440 9 8696 9 8952 9 9209 8 9465 8 9722 7 9978 7 10235 6 10493 4 10752 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,36269 7 36523 11 36778 13 37033 15 37288 17 37543 18 37799 18 38054 19 38310 19 38565 20 38821 20 39077 20 39333 19 39589 19 39845 18 40101 18 40357 17 40614 15 40870 15 41127 13 41384 10 41641 8 41899 4
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,19919 6 20174 8 20429 10 20685 11 20941 12 21197 12 21453 13 21709 13 21965 13 22221 13 22477 13 22734 12 22990 12 23246 11 23503 9 23761 6
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,18671 6 18926 8 19181 9 19436 10 19691 11 19947 11 20203 12 20459 12 20715 12 20971 13 21227 14 21483 14 21739 14 21995 14 22252 13 22510 10 22768 7 23025 5 23284 2 23541 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,40158 3 40413 5 40669 5 40925 5 41182 3
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,58535 6 58791 10 59047 12 59303 16 59553 2 59558 18 59808 25 60064 26 60320 26 60575 27 60831 27 61087 27 61343 27 61599 27 61856 25 62112 25 62368 24 62625 22 62881 21 63138 14 63155 2 63396 11 63653 9 63910 5
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,31989 7 32244 12 32499 14 32754 15 33009 16 33265 16 33521 16 33777 16 34033 16 34289 16 34545 16 34801 16 35057 16 35313 16 35569 15 35826 14 36084 12 36341 11 36599 6 36607 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,11966 4 12220 9 12473 14 12729 15 12984 16 13238 19 13493 20 13749 20 14005 20 14262 19 14519 18 14776 16 15032 16 15288 15 15545 14 15802 13 16060 10 16323 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,58148 3 58403 5 58657 10 58912 13 59167 15 59422 17 59677 18 59933 18 60189 18 60445 18 60701 19 60957 19 61212 21 61469 20 61725 20 61981 19 62239 16 62497 14 62754 12 63011 9 63270 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,14825 3 15080 5 15336 5 15592 5 15849 3
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,39235 1 39489 6 39743 10 39998 19 40254 19 40509 20 40765 21 41020 22 41276 22 41532 22 41788 22 42044 22 42301 21 42557 21 42813 21 43069 21 43326 20 43582 20 43839 18 44096 17 44354 14 44611 12 44868 9
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,19903 5 20158 7 20413 8 20666 13 20921 16 21176 17 21432 17 21687 18 21943 18 22199 18 22455 18 22711 18 22968 17 23224 18 23480 18 23736 18 23992 16 24249 15 24505 15 24762 13 25019 6
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,31465 4 31719 7 31974 9 32230 9 32486 9 32742 9 32998 9 33255 8 33511 8 33768 6 34025 4
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,25560 5 25815 7 26070 8 26325 9 26581 9 26837 9 27093 9 27350 8 27606 7 27863 3
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,45553 2 45787 1 45808 1 46036 9 46063 1 46290 11 46319 1 46545 13 46575 1 46801 14 46830 2 47057 18 47085 3 47313 31 47569 31 47826 30 48084 29 48341 28 48598 27 48856 24 49114 22 49371 20 49629 18 49887 14 50149 5
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,34513 4 34768 6 35024 8 35279 10 35535 11 35791 12 36047 13 36302 15 36558 16 36814 16 37070 16 37326 17 37582 17 37838 17 38094 17 38350 17 38607 16 38863 15 39120 14 39377 12 39634 9 39895 2
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,42977 9 43229 16 43484 18 43740 19 43995 21 44251 21 44507 22 44763 22 45019 22 45276 21 45532 21 45788 20 46045 18 46301 18 46558 17 46815 15 47075 10
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,20706 5 20961 8 21216 10 21472 10 21727 12 21983 12 22239 12 22495 12 22751 12 23008 11 23264 11 23520 10 23777 8 24034 6
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,42264 6 42519 11 42773 15 43028 17 43284 18 43539 19 43795 20 44051 21 44307 22 44563 21 44819 21 45075 21 45331 21 45587 22 45843 22 46099 23 46355 23 46611 22 46867 22 47124 20 47381 19 47637 18 47893 17 48152 13 48412 6
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,9 10 25 1 266 9 522 9 779 8 1041 1
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,25578 10 25834 12 26089 13 26344 15 26598 17 26854 17 27110 18 27366 18 27623 17 27880 17 28136 17 28395 13 28652 11
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,37858 3 38113 5 38369 5 38625 5 38882 3
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,48129 2 48385 3 48641 4 48897 5 49153 5 49409 6 49665 6 49921 7 50177 7 50433 7 50689 7 50945 8 51201 8 51457 7 51713 7 51969 6 52225 5 52481 4
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,13021 2 13276 7 13528 12 13782 15 14038 16 14293 17 14548 19 14804 19 15060 19 15316 19 15572 19 15828 19 16085 18 16341 18 16597 17 16854 14 17112 11
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,16614 3 16869 5 17125 5 17381 5 17638 3
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,31964 6 32219 9 32474 11 32729 13 32985 13 33241 14 33497 14 33753 15 34009 15 34265 16 34521 16 34777 16 35033 16 35290 15 35546 15 35803 14 36060 13 36317 11 36577 7 36835 4
00071198d059ba7f5914a526d124d28e6d010c92466da21d4a04cd5413362552,58625 7 58881 8 59137 9 59393 12 59649 13 59905 13 60161 14 60417 15 60673 15 60929 15 61185 15 61441 15 61697 15 61953 15 62209 15 62465 15 62721 14 62977 12 63233 11 63489 11 63745 9
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,9541 4 9796 7 10051 9 10307 10 10563 10 10819 10 11075 10 11332 9 11589 7 11845 6
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,7528 4 7783 7 8038 9 8293 10 8549 11 8804 12 9060 12 9316 12 9572 12 9828 12 10084 12 10340 12 10597 10 10854 8 11111 6 11369 3
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,17048 5 17302 7 17558 7 17813 9 18068 10 18324 11 18580 11 18836 11 19093 10 19349 10 19605 10 19861 10 20118 9 20374 8 20632 4
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,20859 6 21114 8 21370 9 21625 10 21881 11 22137 11 22393 11 22649 12 22905 12 23162 11 23418 11 23674 11 23931 10 24187 10 24444 8 24701 7 24958 4
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,16385 1 16641 2 16897 3 17153 4 17409 4 17665 4 17921 4 18177 4 18433 4 18689 3 18945 2
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,21796 8 22052 9 22306 11 22562 12 22817 13 23073 14 23329 14 23585 14 23842 13 24098 13 24355 12 24612 10 24869 9 25127 6
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,27880 6 28134 9 28388 11 28643 13 28898 13 29153 14 29409 13 29665 13 29921 12 30177 11 30433 10 30690 7
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,34629 6 34884 8 35139 10 35394 12 35650 12 35906 12 36162 11 36419 10 36675 9 36931 7
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,36323 3 36577 6 36832 8 37087 9 37342 11 37598 11 37853 12 38109 11 38365 11 38621 10 38877 9 39133 8 39391 5
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,4047 5 4302 7 4558 8 4813 10 5069 10 5325 11 5581 11 5837 11 6093 11 6350 10 6606 10 6862 10 7119 8 7375 7 7632 5
003cee89357d9fe13516167fd67b609a164651b21934585648c740d2c3d86dc1,19808 6 20063 8 20318 10 20573 11 20828 12 21083 13 21339 13 21595 12 21850 12 22106 12 22362 11 22618 10 22874 10 23131 7 23387 7 23644 5
